shop_id,median_l2w,sum_l2w,max_l2w,var_l2w,min_l2w,mean_l2w
113,107.0,1456,159,1715.38461538,36,104.0
114,536.5,7355,730,15948.8626374,336,525.357142857
115,434.0,5921,515,3264.68681319,303,422.928571429
116,400.0,4728,487,25208.2197802,35,337.714285714
117,157.5,2618,324,5479.69230769,96,187.0
118,75.5,882,103,952.461538462,23,63.0
119,55.5,873,118,525.785714286,37,62.3571428571
120,268.5,3910,387,1482.37362637,247,279.285714286
121,53.0,711,64,87.1043956044,33,50.7857142857
122,52.0,778,85,193.494505495,36,55.5714285714
123,115.5,1561,144,521.192307692,68,111.5
124,394.5,5493,454,600.708791209,355,392.357142857
125,60.0,1085,230,3106.11538462,31,77.5
126,88.5,1226,110,260.725274725,60,87.5714285714
127,70.5,1212,195,2725.8021978,15,86.5714285714
128,59.0,826,84,217.076923077,30,59.0
129,200.5,2864,248,520.263736264,171,204.571428571
130,316.0,4443,431,2097.63186813,251,317.357142857
131,60.0,863,95,289.631868132,27,61.6428571429
132,62.0,917,89,348.115384615,42,65.5
133,88.5,1141,123,726.884615385,36,81.5
134,331.5,4567,474,9884.64285714,164,326.214285714
135,171.0,2383,222,350.950549451,142,170.214285714
136,101.5,1318,110,294.43956044,61,94.1428571429
137,75.0,1065,105,310.840659341,43,76.0714285714
138,248.5,3347,326,2150.99450549,166,239.071428571
139,76.5,1134,135,673.692307692,52,81.0
140,265.5,3113,371,13250.0934066,62,222.357142857
141,44.0,672,78,173.538461538,34,48.0
142,420.0,4663,492,23673.3021978,57,333.071428571
143,109.5,1500,128,339.516483516,74,107.142857143
144,108.5,1780,216,1970.74725275,78,127.142857143
145,60.0,1007,126,622.379120879,50,71.9285714286
146,518.0,7401,651,7960.55494505,370,528.642857143
147,121.0,1615,147,436.247252747,66,115.357142857
148,62.0,825,80,228.840659341,23,58.9285714286
149,176.0,2408,228,1245.84615385,113,172.0
150,65.0,1001,115,1236.73076923,23,71.5
151,67.0,960,94,360.571428571,36,68.5714285714
152,52.5,757,75,157.148351648,30,54.0714285714
153,70.0,1033,101,317.873626374,54,73.7857142857
154,88.0,892,101,92.8444444444,74,89.2
155,122.0,1693,151,215.148351648,95,120.928571429
156,140.5,1935,171,303.71978022,110,138.214285714
157,93.5,1344,143,537.384615385,64,96.0
158,73.0,1002,89,118.10989011,53,71.5714285714
159,64.5,1046,134,725.450549451,48,74.7142857143
160,282.5,3084,337,11695.2967033,76,220.285714286
161,91.5,1229,115,579.104395604,27,87.7857142857
162,81.5,1154,105,211.648351648,59,82.4285714286
163,92.5,1352,133,237.032967033,80,96.5714285714
164,141.0,1999,230,2462.18131868,42,142.785714286
165,107.5,1568,179,1255.07692308,44,112.0
166,69.0,1211,167,1911.5,36,86.5
167,149.0,1665,239,2283.85454545,90,151.363636364
168,96.0,1329,119,223.148351648,73,94.9285714286
169,114.5,1716,206,2279.49450549,70,122.571428571
170,63.0,934,99,475.604395604,38,66.7142857143
171,213.5,3072,301,1320.72527473,163,219.428571429
172,188.5,2738,334,4742.87912088,47,195.571428571
173,183.0,2502,216,535.142857143,136,178.714285714
174,191.5,2509,241,2860.7967033,98,179.214285714
175,103.5,1617,226,1884.11538462,69,115.5
176,83.5,1209,118,354.401098901,55,86.3571428571
177,120.5,1742,188,741.494505495,82,124.428571429
178,89.5,1232,123,241.230769231,65,88.0
179,75.0,1068,103,223.296703297,50,76.2857142857
180,244.5,3605,382,2681.5,174,257.5
181,74.5,1159,108,286.335164835,63,82.7857142857
182,44.5,748,99,483.186813187,29,53.4285714286
183,176.0,2067,224,4193.47802198,56,147.642857143
184,71.5,1011,94,148.489010989,45,72.2142857143
185,100.5,1375,118,203.412087912,73,98.2142857143
186,146.5,2132,206,850.681318681,110,152.285714286
187,77.5,1077,99,159.456043956,62,76.9285714286
188,93.5,1375,135,363.412087912,72,98.2142857143
189,477.0,6865,631,6295.93956044,378,490.357142857
190,57.0,798,82,276.615384615,31,57.0
191,52.5,417,75,376.125,28,52.125
192,52.5,723,73,246.401098901,25,51.6428571429
193,145.0,2069,203,1064.48901099,101,147.785714286
194,40.5,547,61,167.148351648,20,39.0714285714
195,65.5,1054,122,720.21978022,42,75.2857142857
196,65.0,1406,192,3337.8021978,41,100.428571429
197,57.0,951,117,659.148351648,45,67.9285714286
198,116.5,1364,139,1515.8021978,42,97.4285714286
199,162.5,2300,205,273.296703297,141,164.285714286
200,210.0,3586,451,10935.5164835,145,256.142857143
201,37.5,719,100,647.478021978,24,51.3571428571
202,128.0,1514,231,2743.96969697,3,126.166666667
203,406.5,6031,651,10671.5659341,323,430.785714286
204,80.0,1105,109,262.532967033,53,78.9285714286
205,105.0,1378,119,371.956043956,58,98.4285714286
206,54.0,810,84,374.285714286,27,57.8571428571
207,79.0,1288,192,1457.38461538,54,92.0
208,92.0,1353,168,673.631868132,71,96.6428571429
209,70.5,1317,164,1893.91758242,58,94.0714285714
210,112.0,1689,203,2122.55494505,59,120.642857143
211,86.0,1285,140,423.104395604,66,91.7857142857
212,54.5,906,114,688.989010989,30,64.7142857143
213,65.0,824,92,673.054945055,1,58.8571428571
214,45.5,765,86,306.862637363,36,54.6428571429
215,162.0,2556,291,3017.49450549,119,182.571428571
216,46.0,605,57,110.950549451,22,43.2142857143
217,413.5,5891,619,6598.95054945,337,420.785714286
218,43.0,417,49,381.412087912,4,29.7857142857
219,54.5,800,95,184.285714286,40,57.1428571429
220,84.5,1061,115,833.104395604,28,75.7857142857
221,103.5,1449,132,230.269230769,80,103.5
222,23.0,344,42,107.186813187,6,24.5714285714
223,87.0,1250,127,474.21978022,60,89.2857142857
224,78.5,822,103,1498.83516484,10,58.7142857143
225,87.5,1251,115,192.554945055,70,89.3571428571
226,176.5,2436,215,586.923076923,137,174.0
227,66.5,1193,136,1199.56593407,47,85.2142857143
228,59.5,839,88,210.840659341,36,59.9285714286
229,74.5,1039,104,213.258241758,48,74.2142857143
230,64.5,883,77,97.6098901099,47,63.0714285714
231,77.0,1087,95,95.3241758242,63,77.6428571429
232,64.5,928,93,104.373626374,51,66.2857142857
233,265.5,4149,479,8352.70879121,198,296.357142857
234,152.0,2177,192,377.192307692,124,155.5
235,134.0,1918,174,522.615384615,107,137.0
236,55.0,789,78,211.93956044,37,56.3571428571
237,47.0,669,79,146.489010989,31,47.7857142857
238,61.0,850,89,368.373626374,38,60.7142857143
239,90.5,1307,143,641.93956044,64,93.3571428571
240,258.5,3681,390,3034.53296703,175,262.928571429
241,83.5,1179,111,214.181318681,57,84.2142857143
242,73.5,1008,91,234.923076923,45,72.0
243,283.5,4013,363,2884.70879121,216,286.642857143
244,164.0,2075,229,4398.18131868,25,148.214285714
245,125.5,1589,180,1751.80769231,41,113.5
246,29.0,655,96,850.489010989,18,46.7857142857
247,152.0,2187,196,540.489010989,126,156.214285714
248,66.0,863,78,240.093406593,29,61.6428571429
249,119.5,1547,165,2291.96153846,44,110.5
250,55.0,855,93,309.763736264,39,61.0714285714
251,91.0,1077,131,1102.37912088,34,76.9285714286
252,143.5,1903,223,1120.37912088,89,135.928571429
253,88.5,1282,130,788.571428571,59,91.5714285714
254,83.5,1122,138,1395.51648352,23,80.1428571429
255,80.0,1036,99,298.153846154,40,74.0
256,209.5,3097,291,1414.95054945,175,221.214285714
257,82.0,1136,101,175.824175824,57,81.1428571429
258,78.0,1321,205,2916.70879121,46,94.3571428571
259,72.0,1022,92,79.3846153846,62,73.0
260,59.0,859,92,236.708791209,38,61.3571428571
261,109.0,1544,149,451.296703297,70,110.285714286
262,126.0,1526,153,1509.84615385,50,109.0
263,107.5,1518,138,243.956043956,80,108.428571429
264,117.0,1615,140,219.17032967,89,115.357142857
265,110.0,1596,150,369.692307692,90,114.0
266,45.5,675,64,93.4120879121,36,48.2142857143
267,96.5,1315,109,124.379120879,68,93.9285714286
268,94.0,1216,122,547.516483516,49,86.8571428571
269,94.5,1176,120,893.538461538,25,84.0
270,120.5,1668,155,414.747252747,87,119.142857143
271,65.0,894,95,436.901098901,31,63.8571428571
272,472.0,5590,538,24757.1428571,93,399.285714286
273,116.0,1607,162,376.796703297,86,114.785714286
274,64.0,826,81,206.615384615,28,59.0
275,519.0,6935,693,18454.7087912,242,495.357142857
276,131.5,1942,189,536.21978022,100,138.714285714
277,45.5,743,92,676.071428571,24,53.0714285714
278,285.0,4084,383,3230.06593407,204,291.714285714
279,506.5,7196,694,9439.84615385,398,514.0
280,58.5,877,108,244.708791209,46,62.6428571429
281,168.0,2427,227,622.401098901,139,173.357142857
282,256.0,2926,288,5326.46153846,103,209.0
283,74.5,1413,252,4147.3021978,41,100.928571429
284,41.5,619,74,172.027472527,26,44.2142857143
285,240.0,3464,296,918.571428571,205,247.428571429
286,357.5,4349,499,28588.0934066,26,310.642857143
287,209.0,3053,284,986.379120879,184,218.071428571
288,74.0,1170,149,940.417582418,49,83.5714285714
289,58.5,831,93,137.324175824,44,59.3571428571
290,60.5,845,73,85.0164835165,46,60.3571428571
291,105.0,1247,136,1486.68681319,37,89.0714285714
292,125.0,1701,166,901.653846154,84,121.5
293,194.5,2710,226,505.032967033,148,193.571428571
294,115.5,1609,157,486.686813187,74,114.928571429
295,62.0,857,114,502.181318681,28,61.2142857143
296,386.0,5896,583,7474.74725275,320,421.142857143
297,299.5,3990,392,2993.07692308,205,285.0
298,372.0,6021,768,21864.2252747,323,430.071428571
299,210.0,2948,286,1428.57142857,156,210.571428571
300,63.0,889,82,156.884615385,45,63.5
301,78.0,1045,102,346.093406593,44,74.6428571429
302,172.0,2060,195,2423.97802198,40,147.142857143
303,61.0,988,118,775.648351648,39,70.5714285714
304,207.0,2849,260,2598.88461538,50,203.5
305,115.5,1697,165,651.412087912,82,121.214285714
306,424.0,3551,564,46263.5636364,9,322.818181818
307,69.5,1172,156,1198.06593407,45,83.7142857143
308,67.5,858,100,682.21978022,28,61.2857142857
309,135.5,1713,162,1279.47802198,63,122.357142857
310,176.5,2497,260,1413.78571429,111,178.357142857
311,102.0,1040,132,2196.21978022,12,74.2857142857
312,94.5,1386,124,163.076923077,82,99.0
313,550.5,4528,625,43629.9555556,35,452.8
314,109.5,1558,183,1149.14285714,42,111.285714286
315,172.0,2376,251,1171.14285714,118,169.714285714
316,172.5,2147,223,3406.24725275,66,153.357142857
317,66.5,941,123,775.71978022,31,67.2142857143
318,148.5,2136,220,882.879120879,108,152.571428571
319,180.5,2475,225,641.873626374,148,176.785714286
320,232.5,3535,361,3481.65384615,183,252.5
321,120.0,1718,146,179.450549451,102,122.714285714
322,76.0,1031,95,135.478021978,58,73.6428571429
323,176.5,2464,229,689.692307692,122,176.0
324,117.5,1434,135,1096.26373626,47,102.428571429
325,79.5,1174,108,225.67032967,61,83.8571428571
326,76.0,1125,109,237.478021978,58,80.3571428571
327,62.0,878,91,104.989010989,47,62.7142857143
328,138.0,1914,160,314.681318681,105,136.714285714
329,89.0,1236,119,244.065934066,65,88.2857142857
330,64.0,1221,169,3023.71978022,33,87.2142857143
331,345.0,3042,387,12785.5111111,82,304.2
332,110.0,1723,178,1033.3021978,86,123.071428571
333,88.5,1286,148,395.824175824,66,91.8571428571
334,158.0,2085,201,1077.60989011,74,148.928571429
335,161.5,1802,197,3421.6043956,39,128.714285714
336,244.0,3818,447,7116.06593407,180,272.714285714
337,89.5,1234,102,101.208791209,68,88.1428571429
338,499.5,7637,918,42864.7307692,316,545.5
339,100.5,1439,145,662.642857143,69,102.785714286
340,67.0,967,88,76.9945054945,56,69.0714285714
341,172.0,2800,327,3864.30769231,137,200.0
342,105.5,1416,134,502.131868132,63,101.142857143
343,92.0,1266,106,143.802197802,69,90.4285714286
344,148.0,2092,197,587.186813187,106,149.428571429
345,97.5,1350,122,331.648351648,55,96.4285714286
346,212.0,2678,249,1046.0,128,206.0
347,53.5,750,88,245.032967033,35,53.5714285714
348,280.0,4311,420,3572.53296703,227,307.928571429
349,85.0,1223,115,184.093406593,63,87.3571428571
350,204.0,2248,304,8779.34065934,29,160.571428571
351,89.0,1204,132,707.692307692,37,86.0
352,285.0,2284,316,18297.2545455,1,207.636363636
353,51.0,734,70,103.802197802,31,52.4285714286
354,61.5,893,81,132.950549451,48,63.7857142857
355,36.0,512,61,156.571428571,22,36.5714285714
356,129.5,1760,158,266.681318681,99,125.714285714
357,58.5,820,71,29.8021978022,47,58.5714285714
358,127.0,1770,175,1013.03296703,70,126.428571429
359,156.0,2186,194,313.516483516,126,156.142857143
360,150.5,2258,270,2285.6043956,105,161.285714286
361,186.0,2319,262,4826.09340659,65,165.642857143
362,134.5,1823,148,153.71978022,112,130.214285714
363,68.0,912,85,58.9743589744,60,70.1538461538
364,94.0,1467,180,1208.33516484,57,104.785714286
365,57.0,776,71,101.648351648,39,55.4285714286
366,86.0,796,103,407.6,36,79.6
367,86.5,1134,99,187.692307692,59,81.0
368,284.0,2793,325,4438.09090909,136,253.909090909
369,123.5,1783,159,233.016483516,97,127.357142857
370,140.5,2801,445,12784.9945055,114,200.071428571
371,241.0,3362,308,1729.82417582,158,240.142857143
372,56.0,823,80,127.104395604,45,58.7857142857
373,53.5,743,68,175.60989011,24,53.0714285714
374,60.0,809,89,194.642857143,34,57.7857142857
375,65.0,935,110,555.258241758,35,66.7857142857
376,39.5,557,55,94.3351648352,25,39.7857142857
377,97.5,1380,131,325.648351648,73,98.5714285714
378,165.5,2265,215,957.873626374,85,161.785714286
379,45.0,903,119,1428.57692308,29,64.5
380,225.0,3305,307,2665.14835165,104,236.071428571
381,55.0,794,91,122.065934066,43,56.7142857143
382,66.5,943,89,189.93956044,46,67.3571428571
383,98.0,1084,117,293.515151515,62,90.3333333333
384,49.0,717,82,576.642857143,16,51.2142857143
385,45.0,681,80,268.708791209,26,48.6428571429
386,167.5,2446,232,906.527472527,128,174.714285714
387,70.5,973,90,206.884615385,42,69.5
388,98.0,1428,146,450.923076923,74,102.0
389,94.0,1297,111,136.862637363,75,92.6428571429
390,67.5,916,108,525.186813187,35,65.4285714286
391,251.5,3692,420,3555.6043956,184,263.714285714
392,271.0,3072,383,10601.3406593,89,219.428571429
393,469.0,6527,528,1869.1043956,403,466.214285714
394,152.5,2069,195,871.412087912,102,147.785714286
395,215.5,2911,294,2469.3021978,132,207.928571429
396,102.5,1336,122,455.648351648,64,95.4285714286
397,144.0,2129,218,872.532967033,119,152.071428571
398,116.0,1453,148,895.104395604,58,103.785714286
399,116.0,2602,457,17016.9010989,74,185.857142857
400,64.5,920,93,98.0659340659,51,65.7142857143
401,73.0,963,104,528.181318681,24,68.7857142857
402,208.0,2701,242,1822.22527473,106,192.928571429
403,98.5,1533,176,966.115384615,64,109.5
404,187.5,2875,361,4192.24725275,150,205.357142857
405,120.0,1439,146,1217.71978022,55,102.785714286
406,145.5,1703,186,992.810606061,63,141.916666667
407,145.5,2008,175,724.263736264,84,143.428571429
408,333.5,4469,464,5473.41208791,174,319.214285714
409,96.0,1290,108,123.516483516,73,92.1428571429
410,76.5,1171,170,1457.47802198,34,83.6428571429
411,25.0,335,43,111.60989011,11,23.9285714286
412,60.5,813,99,744.686813187,19,58.0714285714
413,183.0,2336,221,2089.67032967,96,166.857142857
414,458.0,6474,610,4221.64835165,388,462.428571429
415,49.0,702,73,265.054945055,26,50.1428571429
416,86.0,1185,116,458.862637363,52,84.6428571429
417,27.0,405,44,90.8406593407,12,28.9285714286
418,144.5,2075,214,764.027472527,119,148.214285714
419,37.5,553,74,171.961538462,23,39.5
420,99.0,1403,133,455.412087912,63,100.214285714
421,51.5,828,104,647.054945055,28,59.1428571429
422,96.5,1362,114,119.912087912,77,97.2857142857
423,82.5,1335,156,1712.55494505,49,95.3571428571
424,77.0,1093,113,289.763736264,51,78.0714285714
425,102.5,1584,173,750.747252747,82,113.142857143
426,171.0,2401,269,1493.19230769,114,171.5
427,91.5,1336,149,1216.72527473,54,95.4285714286
428,129.0,1600,160,1486.21978022,51,114.285714286
429,49.5,665,61,129.192307692,30,47.5
430,100.5,1411,149,325.873626374,70,100.785714286
431,62.0,872,80,101.758241758,41,62.2857142857
432,45.0,625,107,1137.56363636,14,56.8181818182
433,84.0,1134,104,269.538461538,53,81.0
434,51.5,801,109,506.489010989,31,57.2142857143
435,361.0,5702,751,31762.0659341,38,407.285714286
436,408.5,5874,540,4211.03296703,304,419.571428571
437,66.0,990,103,297.142857143,45,70.7142857143
438,74.0,1040,103,230.065934066,48,74.2857142857
439,116.5,1732,183,639.142857143,96,123.714285714
440,69.5,999,102,194.554945055,48,71.3571428571
441,217.0,3221,339,2077.60989011,183,230.071428571
442,82.0,1283,139,461.016483516,70,91.6428571429
443,62.5,935,98,272.335164835,46,66.7857142857
444,81.0,1185,117,266.401098901,56,84.6428571429
445,153.5,2149,210,652.576923077,118,153.5
446,42.5,697,83,264.489010989,32,49.7857142857
447,207.0,2354,266,6179.82417582,62,168.142857143
448,145.0,1668,205,4367.97802198,39,119.142857143
449,35.0,813,132,1505.60989011,17,58.0714285714
450,68.5,949,82,97.8736263736,48,67.7857142857
451,125.0,1960,205,1178.30769231,100,140.0
452,217.5,3111,292,864.950549451,175,222.214285714
453,57.5,845,86,135.631868132,43,60.3571428571
454,64.5,937,93,131.148351648,51,66.9285714286
455,134.0,1921,180,518.950549451,104,137.214285714
456,61.0,894,78,100.747252747,51,63.8571428571
457,62.0,903,108,424.884615385,31,64.5
458,128.0,2039,270,4643.32417582,77,145.642857143
459,9.0,344,136,1305.1025641,3,26.4615384615
460,231.0,2352,311,12632.3076923,17,168.0
461,48.0,677,67,82.8626373626,35,48.3571428571
462,81.0,1275,169,1616.99450549,49,91.0714285714
463,138.0,1821,186,1223.60989011,32,130.071428571
464,82.0,1422,192,1419.18681319,73,101.571428571
465,412.0,4687,763,20691.5666667,302,468.7
466,91.0,1378,157,1149.03296703,55,98.4285714286
467,96.5,1349,113,103.631868132,80,96.3571428571
468,57.0,802,98,266.989010989,36,57.2857142857
469,50.0,737,70,200.554945055,28,52.6428571429
470,62.5,1028,128,787.802197802,40,73.4285714286
471,85.0,1186,116,279.758241758,49,84.7142857143
472,434.0,6800,763,16879.6043956,337,485.714285714
473,75.0,955,112,706.027472527,24,68.2142857143
474,30.5,460,46,68.4395604396,23,32.8571428571
475,132.5,1894,169,364.373626374,107,135.285714286
476,85.5,885,110,1357.25824176,13,63.2142857143
477,92.0,1303,119,235.148351648,72,93.0714285714
478,48.5,666,55,27.956043956,38,47.5714285714
479,68.0,1036,117,281.076923077,59,74.0
480,67.0,1259,166,2287.45604396,36,89.9285714286
481,62.5,930,96,384.417582418,40,66.4285714286
482,94.0,1358,139,590.461538462,64,97.0
483,62.5,846,88,250.417582418,36,60.4285714286
484,83.5,1276,146,848.131868132,56,91.1428571429
485,124.0,1725,155,259.412087912,101,123.214285714
486,78.5,1149,126,388.840659341,59,82.0714285714
487,61.0,854,76,101.538461538,41,61.0
488,70.0,1013,107,229.93956044,52,72.3571428571
489,76.0,1026,98,136.681318681,54,73.2857142857
490,37.0,553,64,247.346153846,23,39.5
491,282.5,3900,362,2085.18681319,213,278.571428571
492,78.5,1071,100,238.884615385,48,76.5
493,102.0,1208,118,1008.37362637,27,86.2857142857
494,67.5,988,112,388.571428571,47,70.5714285714
495,63.0,975,120,874.862637363,33,69.6428571429
496,132.0,1863,179,424.686813187,102,133.071428571
497,60.0,1115,162,1661.78571429,44,79.6428571429
498,70.5,970,98,416.065934066,34,69.2857142857
499,48.5,805,87,362.423076923,37,57.5
500,151.5,2182,216,1385.36263736,109,155.857142857
501,129.0,1092,181,2028.75,41,121.333333333
502,135.0,1793,230,3027.57692308,25,137.923076923
503,93.0,1201,133,641.412087912,50,85.7857142857
504,79.0,1171,120,456.708791209,53,83.6428571429
505,99.5,886,115,963.822222222,21,88.6
506,69.5,1100,152,1157.64835165,41,78.5714285714
507,205.5,2633,292,6519.45604396,59,188.071428571
508,125.5,1667,180,1818.22527473,52,119.071428571
509,47.0,886,139,1471.91208791,26,63.2857142857
510,64.5,872,83,134.681318681,32,62.2857142857
511,149.0,2092,185,568.10989011,116,149.428571429
512,86.0,1150,118,470.285714286,45,82.1428571429
513,125.0,1771,150,182.730769231,104,126.5
514,84.5,1146,104,297.978021978,44,81.8571428571
515,125.0,1730,148,334.10989011,99,123.571428571
516,79.5,1130,99,100.989010989,66,80.7142857143
517,2028.5,30850,3263,337408.879121,1592,2203.57142857
518,78.0,1107,122,488.225274725,40,79.0714285714
519,174.5,2602,259,1254.28571429,144,185.857142857
520,81.0,833,102,277.018181818,39,75.7272727273
521,83.0,1445,224,3008.95054945,45,103.214285714
522,142.0,2068,206,720.065934066,109,147.714285714
523,46.5,638,61,78.5714285714,29,45.5714285714
524,58.5,674,92,1173.36263736,3,48.1428571429
525,70.5,977,85,94.0274725275,57,69.7857142857
526,104.0,1478,126,223.186813187,79,105.571428571
527,59.5,682,77,530.681318681,15,48.7142857143
528,420.0,6149,575,5602.02747253,340,439.214285714
529,104.0,1441,137,314.840659341,77,102.928571429
530,926.0,8001,1024,216735.269231,23,615.461538462
531,130.0,2010,224,1248.10989011,105,143.571428571
532,100.5,1454,138,297.978021978,79,103.857142857
533,130.5,1601,184,2734.09340659,49,114.357142857
534,42.5,858,120,1482.83516484,22,61.2857142857
535,184.0,2611,228,465.653846154,157,186.5
536,78.5,1121,102,172.840659341,50,80.0714285714
537,120.5,1831,191,989.412087912,99,130.785714286
538,55.0,921,131,999.565934066,21,65.7857142857
539,97.5,1315,132,353.763736264,67,93.9285714286
540,79.5,1151,124,367.104395604,53,82.2142857143
541,177.5,2531,223,498.489010989,147,180.785714286
542,76.0,991,95,332.489010989,28,70.7857142857
543,76.5,1089,102,191.412087912,54,77.7857142857
544,127.0,1725,176,1252.95054945,67,123.214285714
545,121.5,1857,195,945.93956044,94,132.642857143
546,75.0,988,104,644.417582418,22,70.5714285714
547,61.0,813,92,346.602564103,41,62.5384615385
548,113.5,1633,168,643.016483516,67,116.642857143
549,85.5,1283,124,441.785714286,63,91.6428571429
550,82.5,1214,119,447.142857143,59,86.7142857143
551,96.5,1505,193,1247.34615385,75,107.5
