shop_id,sum_l1w,max_l1w,median_l1w,mean_l1w,var_l1w,min_l1w
124,2818,454,398.0,402.571428571,619.619047619,377
125,378,99,51.0,54.0,573.333333333,31
126,692,110,97.0,98.8571428571,77.8095238095,84
127,423,114,49.0,60.4285714286,1083.61904762,15
128,460,84,60.0,65.7142857143,136.571428571,52
129,1452,248,198.0,207.428571429,761.952380952,172
130,2237,431,314.0,319.571428571,3670.61904762,251
131,415,95,58.0,59.2857142857,461.571428571,27
132,442,89,50.0,63.1428571429,493.142857143,42
133,644,123,92.0,92.0,649.0,48
134,2737,474,398.0,391.0,2974.0,321
135,1258,222,174.0,179.714285714,368.571428571,164
136,684,110,106.0,97.7142857143,198.571428571,73
137,594,105,83.0,84.8571428571,220.80952381,67
138,1889,326,266.0,269.857142857,1115.80952381,218
139,579,135,62.0,82.7142857143,1049.23809524,52
140,2017,371,316.0,288.142857143,6168.47619048,144
141,352,78,47.0,50.2857142857,277.238095238,34
142,2665,482,438.0,380.714285714,18046.5714286,177
143,798,128,122.0,114.0,232.333333333,95
144,941,216,106.0,134.428571429,3365.95238095,78
145,464,94,62.0,66.2857142857,256.238095238,50
146,3645,651,499.0,520.714285714,8475.23809524,401
147,840,132,123.0,120.0,116.666666667,105
148,457,80,68.0,65.2857142857,121.904761905,50
149,1293,228,175.0,184.714285714,935.904761905,150
150,491,112,61.0,70.1428571429,903.476190476,41
151,489,87,66.0,69.8571428571,238.476190476,48
152,387,75,52.0,55.2857142857,272.904761905,30
153,502,101,66.0,71.7142857143,326.238095238,54
154,622,101,85.0,88.8571428571,124.476190476,74
155,835,140,125.0,119.285714286,282.904761905,95
156,918,153,124.0,131.142857143,261.476190476,110
157,726,143,101.0,103.714285714,898.571428571,64
158,505,86,74.0,72.1428571429,104.476190476,53
159,457,89,63.0,65.2857142857,225.571428571,51
160,1820,337,305.0,260.0,9190.33333333,121
161,726,115,110.0,103.714285714,135.904761905,85
162,574,103,82.0,82.0,242.666666667,59
163,688,133,89.0,98.2857142857,418.571428571,80
164,1222,230,183.0,174.571428571,1362.28571429,122
165,852,179,109.0,121.714285714,1499.23809524,86
166,578,167,56.0,82.5714285714,2834.61904762,36
167,1253,239,172.0,179.0,1265.66666667,135
168,736,119,105.0,105.142857143,79.8095238095,96
169,857,206,94.0,122.428571429,3390.95238095,73
170,421,96,50.0,60.1428571429,497.142857143,38
171,1671,301,241.0,238.714285714,1236.23809524,203
172,1310,334,166.0,187.142857143,8879.14285714,47
173,1327,216,189.0,189.571428571,559.952380952,146
174,1462,241,230.0,208.857142857,1496.47619048,137
175,870,226,103.0,124.285714286,3184.23809524,69
176,558,118,75.0,79.7142857143,429.904761905,55
177,967,188,125.0,138.142857143,935.142857143,111
178,623,105,86.0,89.0,92.6666666667,76
179,535,103,73.0,76.4285714286,251.619047619,53
180,1944,382,252.0,277.714285714,2809.9047619,235
181,529,98,68.0,75.5714285714,219.285714286,63
182,290,54,41.0,41.4285714286,57.9523809524,29
183,1281,224,209.0,183.0,2392.0,108
184,557,94,77.0,79.5714285714,93.619047619,68
185,738,115,108.0,105.428571429,67.9523809524,92
186,1064,206,135.0,152.0,1302.33333333,126
187,550,99,79.0,78.5714285714,128.952380952,65
188,689,135,93.0,98.4285714286,489.952380952,72
189,3390,631,434.0,484.285714286,8992.57142857,401
190,360,81,47.0,51.4285714286,255.285714286,31
191,75,75,75.0,75.0,,75
192,337,73,45.0,48.1428571429,238.142857143,27
193,1001,203,127.0,143.0,1354.33333333,101
194,324,61,44.0,46.2857142857,115.904761905,30
195,464,104,61.0,66.2857142857,481.571428571,42
196,559,159,51.0,79.8571428571,2792.80952381,41
197,392,80,49.0,56.0,202.0,45
198,820,139,131.0,117.142857143,825.80952381,65
199,1153,205,164.0,164.714285714,368.571428571,146
200,1747,451,192.0,249.571428571,11186.952381,148
201,315,88,35.0,45.0,585.333333333,24
202,1059,231,143.0,151.285714286,1396.23809524,122
203,3084,651,362.0,440.571428571,18638.952381,331
204,619,109,88.0,88.4285714286,241.285714286,61
205,778,119,112.0,111.142857143,31.1428571429,101
206,382,78,50.0,54.5714285714,303.952380952,27
207,712,192,78.0,101.714285714,2404.9047619,64
208,751,168,93.0,107.285714286,1055.9047619,78
209,591,155,61.0,84.4285714286,1507.95238095,58
210,737,172,86.0,105.285714286,1534.57142857,73
211,699,140,94.0,99.8571428571,686.80952381,66
212,391,91,54.0,55.8571428571,535.80952381,30
213,538,92,76.0,76.8571428571,106.142857143,59
214,355,75,44.0,50.7142857143,262.904761905,36
215,1336,291,163.0,190.857142857,4114.47619048,139
216,330,57,47.0,47.1428571429,22.8095238095,43
217,3037,619,369.0,433.857142857,12019.4761905,337
218,261,49,45.0,37.2857142857,266.238095238,13
219,444,95,60.0,63.4285714286,244.285714286,50
220,657,115,94.0,93.8571428571,218.142857143,72
221,743,132,109.0,106.142857143,443.142857143,80
222,153,39,22.0,21.8571428571,93.1428571429,6
223,577,127,70.0,82.4285714286,578.285714286,60
224,496,103,88.0,70.8571428571,1240.14285714,20
225,685,115,96.0,97.8571428571,117.80952381,84
226,1281,215,185.0,183.0,457.666666667,151
227,508,136,58.0,72.5714285714,1098.95238095,47
228,421,88,59.0,60.1428571429,214.476190476,46
229,494,90,74.0,70.5714285714,193.952380952,48
230,474,77,67.0,67.7142857143,75.2380952381,53
231,560,95,80.0,80.0,114.333333333,63
232,464,71,65.0,66.2857142857,22.9047619048,59
233,2077,479,239.0,296.714285714,14013.2380952,198
234,1104,192,153.0,157.714285714,608.238095238,124
235,945,174,136.0,135.0,605.666666667,107
236,344,78,45.0,49.1428571429,197.142857143,37
237,387,79,52.0,55.2857142857,142.571428571,44
238,528,89,79.0,75.4285714286,174.952380952,51
239,594,110,76.0,84.8571428571,412.142857143,64
240,2113,390,289.0,301.857142857,1907.80952381,262
241,649,111,87.0,92.7142857143,158.904761905,77
242,558,91,79.0,79.7142857143,60.2380952381,71
243,1839,353,244.0,262.714285714,3129.9047619,216
244,1303,229,198.0,186.142857143,980.80952381,143
245,922,153,135.0,131.714285714,296.238095238,101
246,257,75,26.0,36.7142857143,534.904761905,18
247,1158,196,169.0,165.428571429,637.952380952,126
248,477,78,68.0,68.1428571429,54.4761904762,57
249,912,165,154.0,130.285714286,2223.23809524,51
250,419,93,53.0,59.8571428571,275.476190476,45
251,623,131,100.0,89.0,1049.33333333,42
252,1043,223,145.0,149.0,1532.33333333,89
253,622,128,83.0,88.8571428571,830.142857143,59
254,774,138,115.0,110.571428571,465.619047619,83
255,577,99,80.0,82.4285714286,73.619047619,73
256,1584,291,221.0,226.285714286,1609.9047619,184
257,633,101,89.0,90.4285714286,61.9523809524,81
258,432,82,60.0,61.7142857143,187.904761905,47
259,525,92,76.0,75.0,99.3333333333,62
260,483,92,71.0,69.0,271.666666667,44
261,772,149,108.0,110.285714286,867.904761905,70
262,915,145,134.0,130.714285714,121.238095238,111
263,750,120,108.0,107.142857143,54.8095238095,97
264,846,140,118.0,120.857142857,80.8095238095,114
265,835,150,110.0,119.285714286,550.571428571,90
266,365,64,54.0,52.1428571429,123.80952381,37
267,689,107,99.0,98.4285714286,32.619047619,90
268,717,122,104.0,102.428571429,204.619047619,76
269,689,120,102.0,98.4285714286,248.285714286,77
270,901,142,130.0,128.714285714,214.904761905,98
271,503,86,80.0,71.8571428571,197.80952381,49
272,3477,538,501.0,496.714285714,1021.9047619,449
273,862,162,125.0,123.142857143,506.80952381,86
274,422,76,64.0,60.2857142857,158.904761905,36
275,4153,693,579.0,593.285714286,2733.9047619,522
276,1014,189,143.0,144.857142857,697.80952381,118
277,332,89,30.0,47.4285714286,817.619047619,24
278,1973,383,244.0,281.857142857,5326.47619048,204
279,3642,694,458.0,520.285714286,14934.2380952,398
280,499,108,71.0,71.2857142857,319.904761905,51
281,1227,227,167.0,175.285714286,887.238095238,139
282,1645,288,270.0,235.0,4324.33333333,135
283,494,116,64.0,70.5714285714,580.952380952,41
284,340,74,52.0,48.5714285714,223.952380952,33
285,1714,296,240.0,244.857142857,732.142857143,209
286,2728,499,427.0,389.714285714,12881.5714286,221
287,1650,284,223.0,235.714285714,1269.57142857,196
288,659,149,75.0,94.1428571429,1599.47619048,51
289,447,93,64.0,63.8571428571,206.476190476,51
290,434,73,62.0,62.0,77.3333333333,47
291,730,136,122.0,104.285714286,1378.57142857,49
292,894,159,134.0,127.714285714,770.904761905,84
293,1387,219,197.0,198.142857143,178.142857143,183
294,889,157,123.0,127.0,273.666666667,109
295,411,114,57.0,58.7142857143,869.904761905,28
296,2866,583,360.0,409.428571429,12133.952381,320
297,2223,392,313.0,317.571428571,1612.95238095,264
298,3309,768,365.0,472.714285714,38251.9047619,337
299,1471,286,198.0,210.142857143,2208.14285714,171
300,461,82,69.0,65.8571428571,149.142857143,45
301,582,102,85.0,83.1428571429,281.476190476,52
302,1097,189,172.0,156.714285714,1067.23809524,108
303,453,118,55.0,64.7142857143,791.571428571,39
304,1431,260,228.0,204.428571429,5084.95238095,50
305,842,165,114.0,120.285714286,1099.57142857,82
306,2621,564,469.0,374.428571429,44299.2857143,57
307,512,105,66.0,73.1428571429,403.80952381,56
308,447,87,72.0,63.8571428571,635.142857143,28
309,978,153,144.0,139.714285714,226.571428571,111
310,1216,260,159.0,173.714285714,2517.57142857,111
311,599,132,110.0,85.5714285714,2337.28571429,14
312,688,111,94.0,98.2857142857,117.238095238,85
313,2883,625,560.0,411.857142857,58045.4761905,35
314,875,183,123.0,125.0,1927.0,42
315,1320,251,181.0,188.571428571,1228.61904762,135
316,1315,223,194.0,187.857142857,1239.80952381,119
317,430,123,45.0,61.4285714286,1246.28571429,31
318,1099,220,148.0,157.0,1116.66666667,124
319,1366,225,184.0,195.142857143,372.80952381,180
320,1840,361,235.0,262.857142857,5131.80952381,183
321,886,146,129.0,126.571428571,157.952380952,109
322,537,95,76.0,76.7142857143,159.238095238,60
323,1335,229,184.0,190.714285714,441.904761905,168
324,849,135,123.0,121.285714286,216.571428571,99
325,582,106,77.0,83.1428571429,165.142857143,71
326,534,105,74.0,76.2857142857,242.238095238,58
327,465,91,66.0,66.4285714286,168.285714286,47
328,1009,160,145.0,144.142857143,108.142857143,130
329,592,95,88.0,84.5714285714,85.2857142857,72
330,524,169,41.0,74.8571428571,2951.47619048,33
331,1942,367,340.0,277.428571429,16207.6190476,82
332,821,149,109.0,117.285714286,786.238095238,86
333,663,148,88.0,94.7142857143,620.571428571,71
334,1187,201,165.0,169.571428571,246.285714286,156
335,1001,197,165.0,143.0,3402.33333333,39
336,1979,447,251.0,282.714285714,11294.2380952,181
337,629,101,92.0,89.8571428571,83.1428571429,74
338,3727,918,383.0,532.428571429,67584.952381,330
339,697,145,93.0,99.5714285714,743.619047619,69
340,514,88,68.0,73.4285714286,88.619047619,65
341,1407,327,159.0,201.0,7409.66666667,137
342,810,134,114.0,115.714285714,183.904761905,95
343,694,106,103.0,99.1428571429,54.4761904762,86
344,1064,197,150.0,152.0,1070.0,106
345,742,122,105.0,106.0,161.333333333,85
346,1580,249,234.0,225.714285714,333.571428571,196
347,314,54,44.0,44.8571428571,70.4761904762,36
348,2186,420,275.0,312.285714286,4817.9047619,263
349,620,115,87.0,88.5714285714,302.285714286,63
350,1415,304,237.0,202.142857143,6747.14285714,89
351,709,132,97.0,101.285714286,460.904761905,70
352,1538,316,308.0,256.333333333,15057.0666667,7
353,381,70,54.0,54.4285714286,178.952380952,31
354,448,81,60.0,64.0,198.333333333,48
355,260,61,39.0,37.1428571429,175.80952381,23
356,898,135,132.0,128.285714286,59.9047619048,114
357,421,71,61.0,60.1428571429,52.1428571429,47
358,1036,175,152.0,148.0,393.333333333,114
359,1133,194,165.0,161.857142857,418.476190476,131
360,1092,270,146.0,156.0,3408.66666667,105
361,1392,262,220.0,198.857142857,3353.14285714,102
362,946,148,138.0,135.142857143,139.80952381,112
363,402,85,64.5,67.0,82.4,60
364,637,180,79.0,91.0,1719.0,57
365,373,71,47.0,53.2857142857,186.238095238,39
366,540,103,85.0,77.1428571429,527.80952381,36
367,612,99,92.0,87.4285714286,104.952380952,73
368,1792,325,284.0,256.0,4378.66666667,142
369,896,159,124.0,128.0,431.666666667,97
370,1654,445,181.0,236.285714286,18676.5714286,115
371,1725,308,238.0,246.428571429,1439.28571429,204
372,407,74,58.0,58.1428571429,104.476190476,45
373,359,65,50.0,51.2857142857,128.904761905,33
374,448,89,61.0,64.0,202.666666667,46
375,381,75,51.0,54.4285714286,204.952380952,37
376,262,55,36.0,37.4285714286,110.952380952,25
377,746,131,101.0,106.571428571,385.619047619,80
378,996,172,143.0,142.285714286,901.571428571,85
379,409,112,37.0,58.4285714286,1372.61904762,29
380,1609,307,227.0,229.857142857,4396.47619048,104
381,390,61,56.0,55.7142857143,22.2380952381,48
382,501,89,71.0,71.5714285714,111.619047619,59
383,664,117,98.0,94.8571428571,239.142857143,69
384,444,82,72.0,63.4285714286,481.952380952,28
385,290,52,42.0,41.4285714286,99.619047619,26
386,1334,232,172.0,190.571428571,1013.95238095,159
387,483,90,72.0,69.0,289.333333333,42
388,724,146,96.0,103.428571429,729.619047619,74
389,701,111,102.0,100.142857143,100.142857143,79
390,478,108,62.0,68.2857142857,851.238095238,35
391,1815,420,241.0,259.285714286,5488.23809524,203
392,1852,383,303.0,264.571428571,8828.61904762,111
393,3223,522,467.0,460.428571429,1950.61904762,403
394,1172,195,169.0,167.428571429,424.285714286,138
395,1684,294,233.0,240.571428571,1125.95238095,197
396,718,120,106.0,102.571428571,243.619047619,77
397,1049,218,132.0,149.857142857,1232.47619048,119
398,893,148,128.0,127.571428571,116.619047619,115
399,951,240,103.0,135.857142857,5047.14285714,74
400,480,93,65.0,68.5714285714,150.285714286,55
401,580,104,80.0,82.8571428571,121.142857143,69
402,1481,236,211.0,211.571428571,256.285714286,190
403,675,119,92.0,96.4285714286,123.619047619,86
404,1595,361,186.0,227.857142857,7584.80952381,152
405,818,146,133.0,116.857142857,1020.47619048,61
406,1113,186,155.0,159.0,357.0,128
407,1112,175,162.0,158.857142857,213.80952381,141
408,2200,464,282.0,314.285714286,10055.2380952,174
409,645,105,97.0,92.1428571429,151.80952381,73
410,699,170,78.0,99.8571428571,2028.80952381,51
411,149,43,20.0,21.2857142857,136.238095238,11
412,491,99,68.0,70.1428571429,485.80952381,40
413,1315,221,188.0,187.857142857,726.142857143,147
414,3228,610,446.0,461.142857143,6976.14285714,388
415,417,73,63.0,59.5714285714,241.285714286,32
416,546,111,69.0,78.0,552.666666667,52
417,170,34,26.0,24.2857142857,48.9047619048,12
418,1077,214,144.0,153.857142857,1117.47619048,121
419,245,39,35.0,35.0,11.0,30
420,688,123,93.0,98.2857142857,445.571428571,71
421,355,90,38.0,50.7142857143,606.571428571,28
422,644,107,95.0,92.0,108.0,77
423,599,156,66.0,85.5714285714,1898.28571429,49
424,559,113,75.0,79.8571428571,501.476190476,51
425,774,173,96.0,110.571428571,1116.95238095,82
426,1261,269,172.0,180.142857143,1728.47619048,145
427,797,149,130.0,113.857142857,1301.80952381,58
428,986,160,139.0,140.857142857,227.80952381,120
429,313,61,42.0,44.7142857143,163.904761905,30
430,759,149,104.0,108.428571429,391.285714286,87
431,453,80,62.0,64.7142857143,180.904761905,41
432,146,53,39.5,36.5,285.666666667,14
433,631,104,90.0,90.1428571429,83.8095238095,79
434,381,85,50.0,54.4285714286,248.285714286,38
435,2961,751,329.0,423.0,35244.0,283
436,3209,540,433.0,458.428571429,3435.28571429,393
437,575,103,85.0,82.1428571429,216.142857143,61
438,515,103,72.0,73.5714285714,349.619047619,48
439,972,183,136.0,138.857142857,752.476190476,109
440,564,102,80.0,80.5714285714,135.619047619,69
441,1637,339,204.0,233.857142857,3779.80952381,183
442,683,139,85.0,97.5714285714,689.619047619,70
443,493,98,65.0,70.4285714286,412.285714286,52
444,658,117,94.0,94.0,228.333333333,71
445,1169,210,167.0,167.0,621.333333333,131
446,280,62,37.0,40.0,103.666666667,32
447,1276,236,226.0,182.285714286,5005.57142857,80
448,958,205,156.0,136.857142857,4003.14285714,41
449,326,107,34.0,46.5714285714,1286.61904762,17
450,503,82,70.0,71.8571428571,53.8095238095,63
451,935,205,122.0,133.571428571,1340.28571429,100
452,1689,292,234.0,241.285714286,732.238095238,210
453,433,73,61.0,61.8571428571,64.8095238095,54
454,461,83,61.0,65.8571428571,87.4761904762,57
455,1033,180,140.0,147.571428571,566.285714286,119
456,452,78,63.0,64.5714285714,99.619047619,51
457,470,108,61.0,67.1428571429,788.142857143,31
458,725,135,88.0,103.571428571,643.285714286,77
459,245,136,25.5,40.8333333333,2537.36666667,3
460,1491,311,267.0,213.0,11698.3333333,27
461,356,67,47.0,50.8571428571,86.1428571429,41
462,547,123,59.0,78.1428571429,1076.80952381,49
463,995,186,140.0,142.142857143,632.476190476,107
464,781,192,79.0,111.571428571,2528.95238095,76
465,3601,763,452.0,514.428571429,21996.952381,403
466,659,157,85.0,94.1428571429,1376.14285714,55
467,679,109,99.0,97.0,109.0,81
468,414,98,59.0,59.1428571429,551.80952381,36
469,434,70,67.0,62.0,81.0,50
470,481,128,54.0,68.7142857143,983.238095238,40
471,619,101,86.0,88.4285714286,44.619047619,82
472,3819,763,439.0,545.571428571,25867.2857143,402
473,542,112,88.0,77.4285714286,854.285714286,24
474,261,46,41.0,37.2857142857,75.5714285714,23
475,924,154,138.0,132.0,289.333333333,107
476,539,110,89.0,77.0,982.333333333,31
477,694,119,96.0,99.1428571429,351.80952381,72
478,338,53,51.0,48.2857142857,22.5714285714,42
479,528,117,64.0,75.4285714286,466.952380952,59
480,425,85,57.0,60.7142857143,319.238095238,36
481,348,61,48.0,49.7142857143,78.2380952381,40
482,672,139,83.0,96.0,598.333333333,72
483,495,88,72.0,70.7142857143,190.904761905,45
484,638,146,83.0,91.1428571429,1365.47619048,56
485,915,155,126.0,130.714285714,332.904761905,109
486,587,126,79.0,83.8571428571,459.142857143,63
487,458,76,65.0,65.4285714286,59.2857142857,54
488,549,107,76.0,78.4285714286,236.285714286,61
489,537,98,77.0,76.7142857143,164.571428571,54
490,271,64,26.0,38.7142857143,330.571428571,25
491,2114,362,303.0,302.0,1948.66666667,249
492,581,100,82.0,83.0,229.666666667,60
493,768,118,109.0,109.714285714,26.2380952381,102
494,507,112,64.0,72.4285714286,455.285714286,49
495,487,120,60.0,69.5714285714,1093.95238095,33
496,892,149,126.0,127.428571429,262.952380952,102
497,402,64,59.0,57.4285714286,32.2857142857,50
498,550,98,74.0,78.5714285714,308.285714286,55
499,338,74,42.0,48.2857142857,139.571428571,41
500,1060,216,127.0,151.428571429,2051.28571429,111
501,936,181,132.0,133.714285714,1443.9047619,68
502,1013,230,127.0,144.714285714,3437.9047619,58
503,681,133,99.0,97.2857142857,544.904761905,61
504,535,108,69.0,76.4285714286,373.952380952,53
505,593,115,99.0,84.7142857143,1271.57142857,21
506,603,152,69.0,86.1428571429,2022.80952381,41
507,1662,292,257.0,237.428571429,2138.28571429,173
508,1009,180,156.0,144.142857143,1012.47619048,99
509,297,65,42.0,42.4285714286,160.952380952,28
510,403,70,61.0,57.5714285714,170.952380952,32
511,1101,185,150.0,157.285714286,725.571428571,118
512,527,118,69.0,75.2857142857,720.904761905,45
513,925,150,134.0,132.142857143,169.476190476,113
514,644,104,93.0,92.0,98.0,76
515,876,148,128.0,125.142857143,439.80952381,99
516,614,99,86.0,87.7142857143,69.2380952381,79
517,15734,3263,1852.0,2247.71428571,555970.904762,1592
518,539,122,67.0,77.0,881.666666667,40
519,1438,259,182.0,205.428571429,1597.61904762,167
520,564,102,81.0,80.5714285714,147.619047619,65
521,602,129,78.0,86.0,751.0,58
522,1039,206,131.0,148.428571429,1028.61904762,127
523,328,61,47.0,46.8571428571,109.476190476,29
524,391,92,61.0,55.8571428571,1292.47619048,3
525,467,77,65.0,66.7142857143,77.2380952381,57
526,725,126,101.0,103.571428571,251.619047619,85
527,383,77,63.0,54.7142857143,482.904761905,20
528,2944,575,404.0,420.571428571,7481.61904762,340
529,759,137,106.0,108.428571429,343.619047619,83
530,4969,1024,926.0,709.857142857,196290.47619,23
531,1000,197,131.0,142.857142857,1076.80952381,105
532,784,138,112.0,112.0,275.666666667,88
533,978,184,164.0,139.714285714,2613.57142857,58
534,379,120,40.0,54.1428571429,1291.14285714,25
535,1271,213,176.0,181.571428571,393.952380952,161
536,586,102,79.0,83.7142857143,134.238095238,72
537,963,191,114.0,137.571428571,1678.95238095,99
538,474,131,54.0,67.7142857143,1333.57142857,39
539,720,132,98.0,102.857142857,344.142857143,79
540,656,124,88.0,93.7142857143,268.571428571,78
541,1193,197,171.0,170.428571429,271.952380952,147
542,498,90,77.0,71.1428571429,438.80952381,28
543,554,102,75.0,79.1428571429,215.476190476,59
544,730,158,91.0,104.285714286,1298.9047619,67
545,1030,195,151.0,147.142857143,1479.14285714,94
546,475,104,71.0,67.8571428571,599.142857143,40
547,446,92,79.5,74.3333333333,342.666666667,44
548,913,168,116.0,130.428571429,632.619047619,106
549,614,124,82.0,87.7142857143,559.904761905,63
550,714,119,108.0,102.0,273.333333333,72
551,671,112,97.0,95.8571428571,171.80952381,77
552,826,169,107.0,118.0,1004.0,85
553,1946,373,291.0,278.0,5676.0,132
554,618,143,78.0,88.2857142857,1248.9047619,60
555,904,158,122.0,129.142857143,340.142857143,110
556,331,66,42.0,47.2857142857,111.904761905,36
557,2032,356,307.0,290.285714286,2446.9047619,218
558,778,135,114.0,111.142857143,271.476190476,80
559,1277,258,217.0,182.428571429,7095.95238095,53
560,1067,190,145.0,152.428571429,487.619047619,130
561,452,111,70.0,64.5714285714,1967.61904762,3
562,377,80,68.0,53.8571428571,939.476190476,4
563,336,70,42.0,48.0,148.0,38
