shop_id,mean_l2m,var_l2m,min_l2m,max_l2m,median_l2m,sum_l2m
134,306.7,7872.01034483,153,474,316.5,9201
135,164.133333333,689.498850575,105,222,168.0,4924
136,90.4333333333,545.840229885,49,163,93.5,2713
137,77.3333333333,228.505747126,43,105,76.0,2320
138,235.833333333,1716.6954023,159,326,248.5,7075
139,82.1666666667,668.764367816,51,135,82.0,2465
140,246.7,11920.9758621,62,371,295.5,7401
141,48.3333333333,190.91954023,34,87,42.5,1450
142,373.066666667,29098.2712644,57,613,444.5,11192
143,99.4333333333,295.840229885,68,128,99.5,2983
144,123.366666667,1834.37816092,49,216,110.0,3701
145,76.1333333333,694.464367816,44,137,64.5,2284
146,550.233333333,9980.94367816,370,749,529.0,16507
147,118.033333333,554.102298851,66,160,122.0,3541
148,65.3333333333,211.885057471,23,95,67.0,1960
149,174.8,3974.02758621,91,415,175.0,5244
150,69.5666666667,1082.59885057,23,121,62.0,2087
151,77.5666666667,857.081609195,36,141,83.0,2327
152,52.1,172.3,29,83,50.0,1563
153,80.8,414.027586207,54,134,80.0,2424
154,91.68,957.226666667,9,146,98.0,2292
155,125.233333333,394.736781609,78,168,123.0,3757
156,133.933333333,795.512643678,68,203,130.0,4018
157,97.9666666667,464.791954023,64,143,96.0,2939
158,72.2333333333,153.909195402,53,117,72.0,2167
159,76.5666666667,1124.94367816,32,169,65.0,2297
160,239.466666667,11774.9471264,76,387,296.5,7184
161,91.2333333333,544.116091954,27,119,95.0,2737
162,83.1333333333,183.843678161,59,119,80.5,2494
163,94.3333333333,476.091954023,64,152,89.0,2830
164,144.827586207,2355.64778325,42,238,155.0,4200
165,111.0,1196.20689655,42,179,107.0,3330
166,81.7666666667,2052.32298851,26,182,57.5,2453
167,145.083333333,1218.6884058,90,239,143.5,3482
168,99.1666666667,222.626436782,73,127,100.5,2975
169,118.733333333,1935.44367816,68,206,99.5,3562
170,63.8,424.372413793,33,99,61.5,1914
171,224.666666667,1320.36781609,163,301,217.0,6740
172,199.333333333,3701.54022989,47,334,177.5,5980
173,175.3,735.389655172,127,254,176.0,5259
174,174.866666667,2715.01609195,76,262,182.5,5246
175,113.033333333,1762.3091954,64,226,100.0,3391
176,83.3,528.217241379,49,123,79.0,2499
177,123.066666667,876.47816092,82,196,120.0,3692
178,93.1333333333,326.11954023,65,142,91.5,2794
179,73.5333333333,196.740229885,47,103,73.0,2206
180,275.5,4553.22413793,174,490,258.0,8265
181,83.9,612.437931034,51,155,73.0,2517
182,54.3928571429,486.099206349,18,99,44.5,1523
183,160.233333333,3480.73678161,56,227,180.5,4807
184,71.4,159.075862069,45,94,70.5,2142
185,94.2333333333,232.322988506,61,118,96.0,2827
186,150.633333333,917.964367816,110,222,145.5,4519
187,78.6666666667,203.471264368,56,113,77.5,2360
188,97.9333333333,454.616091954,55,137,94.0,2938
189,497.1,7405.47241379,378,689,474.0,14913
190,74.8,1734.44137931,25,199,64.5,2244
191,65.0833333333,476.949275362,28,107,72.0,1562
192,53.9666666667,181.136781609,25,78,55.0,1619
193,145.466666667,969.498850575,98,203,138.5,4364
194,43.6,186.179310345,20,77,44.0,1308
195,74.3,712.562068966,42,125,62.5,2229
196,102.1,4890.50689655,39,271,59.0,3063
197,66.9333333333,1017.37471264,31,146,51.0,2008
198,105.866666667,2145.84367816,24,191,116.5,3176
199,158.733333333,557.857471264,113,205,159.5,4762
200,259.066666667,13073.0988506,138,495,199.0,7772
201,59.6666666667,676.505747126,24,112,56.5,1790
202,116.555555556,2655.94871795,3,231,122.0,3147
203,436.866666667,11622.8781609,315,685,406.5,13106
204,79.6,277.075862069,52,109,81.5,2388
205,107.0,540.137931034,58,155,111.0,3210
206,55.9,335.196551724,27,93,52.5,1677
207,93.7666666667,1397.84022989,54,192,82.0,2813
208,87.8,432.924137931,60,168,83.5,2634
209,82.6333333333,1782.24022989,31,187,65.5,2479
210,118.866666667,1913.63678161,59,228,107.0,3566
211,90.3666666667,461.136781609,52,140,86.5,2711
212,66.7333333333,723.098850575,30,114,55.0,2002
213,59.2,569.268965517,1,92,66.5,1776
214,54.8333333333,436.764367816,28,110,45.5,1645
215,177.966666667,3541.13678161,101,291,162.0,5339
216,42.6333333333,74.5850574713,22,57,43.0,1279
217,405.0,6407.86206897,203,619,396.0,12150
218,41.8,720.786206897,4,81,46.0,1254
219,65.8333333333,316.764367816,40,116,61.5,1975
220,79.8,667.2,28,115,92.5,2394
221,104.633333333,484.447126437,65,170,105.5,3139
222,36.6,990.868965517,6,155,24.0,1098
223,88.1333333333,361.843678161,57,127,86.0,2644
224,65.1666666667,1523.31609195,6,125,84.0,1955
225,78.9,377.334482759,28,115,77.5,2367
226,178.133333333,605.291954023,137,239,174.5,5344
227,83.9,1596.85172414,32,174,66.5,2517
228,61.3,165.872413793,36,90,61.0,1839
229,78.5333333333,350.11954023,48,124,73.5,2356
230,61.6333333333,127.481609195,34,87,61.0,1849
231,78.0666666667,173.098850575,51,114,78.0,2342
232,66.9666666667,97.6885057471,51,93,65.0,2009
233,282.066666667,7529.16781609,181,479,240.5,8462
234,155.9,448.851724138,117,197,152.0,4677
235,130.233333333,659.909195402,89,174,127.0,3907
236,61.3333333333,252.91954023,37,106,58.0,1840
237,44.3333333333,113.885057471,31,79,43.0,1330
238,63.5666666667,286.874712644,38,99,66.0,1907
239,95.3333333333,1058.29885057,61,174,87.5,2860
240,261.466666667,2444.74022989,175,390,263.5,7844
241,80.7666666667,268.46091954,45,111,82.5,2423
242,74.3333333333,197.67816092,45,96,76.0,2230
243,289.566666667,3202.52988506,216,397,279.5,8687
244,166.466666667,7054.60229885,17,341,183.5,4994
245,123.533333333,7317.01609195,41,525,108.5,3706
246,42.1785714286,785.855820106,1,96,28.0,1181
247,136.6,2398.73103448,2,196,148.0,4098
248,62.2333333333,147.840229885,29,83,64.0,1867
249,113.4,2669.90344828,26,175,136.5,3402
250,57.9333333333,303.167816092,28,93,54.5,1738
251,81.6,1023.83448276,33,131,90.0,2448
252,160.9,14751.1965517,89,604,134.0,4827
253,89.6666666667,1180.09195402,41,163,79.5,2690
254,90.3666666667,4288.86091954,23,378,82.0,2711
255,73.6333333333,290.516091954,40,120,76.5,2209
256,214.233333333,1721.15057471,116,291,208.0,6427
257,79.0666666667,165.236781609,57,101,80.5,2372
258,99.3666666667,3212.24022989,46,264,79.5,2981
259,74.1,90.5068965517,53,92,74.5,2223
260,62.6666666667,174.298850575,38,92,60.5,1880
261,101.733333333,584.822988506,62,149,105.5,3052
262,111.2,1134.02758621,50,179,120.5,3336
263,121.2,479.062068966,80,172,120.0,3636
264,117.5,337.431034483,69,153,118.5,3525
265,114.5,223.017241379,90,150,114.0,3435
266,49.5333333333,96.1195402299,31,66,49.5,1486
267,90.2,135.062068966,66,109,90.0,2706
268,91.1666666667,574.074712644,49,123,96.0,2735
269,85.8333333333,743.66091954,25,120,96.0,2575
270,111.466666667,1231.36091954,60,190,106.0,3344
271,64.1666666667,340.971264368,31,95,66.0,1925
272,365.233333333,19721.2195402,93,538,388.5,10957
273,118.133333333,564.464367816,84,168,119.0,3544
274,62.2666666667,247.029885057,28,92,64.0,1868
275,464.166666667,19539.9367816,111,693,510.0,13925
276,134.733333333,480.547126437,93,189,131.5,4042
277,54.5333333333,794.533333333,9,116,45.0,1636
278,290.666666667,3855.40229885,203,460,273.5,8720
279,545.413793103,8339.75123153,398,738,536.0,15817
280,58.9666666667,187.826436782,38,108,56.5,1769
281,176.266666667,732.547126437,139,234,170.0,5288
282,224.166666667,5617.04022989,103,315,257.5,6725
283,99.9333333333,3201.51264368,41,252,75.0,2998
284,48.9666666667,407.136781609,26,100,41.5,1469
285,284.033333333,8567.20574713,205,590,267.5,8521
286,299.5,19849.0862069,26,499,310.0,8985
287,219.533333333,748.257471264,183,284,212.0,6586
288,79.3666666667,708.102298851,49,149,72.0,2381
289,59.3333333333,215.885057471,37,103,58.5,1780
290,62.3333333333,111.471264368,46,90,62.0,1870
291,92.0333333333,1406.51609195,29,153,105.0,2761
292,123.133333333,1067.84367816,67,187,128.5,3694
293,196.7,741.389655172,133,252,198.0,5901
294,121.9,831.334482759,70,167,124.0,3657
295,69.0333333333,994.37816092,28,168,63.5,2071
296,425.366666667,8821.55057471,320,623,386.5,12761
297,253.3,2972.63103448,149,392,253.5,7599
298,409.6,16517.3517241,294,768,353.0,12288
299,209.633333333,1769.8954023,139,295,205.0,6289
300,66.9,2370.02413793,23,310,58.0,2007
301,74.4333333333,212.047126437,44,102,76.5,2233
302,130.733333333,3114.06436782,12,195,143.0,3922
303,62.7666666667,651.21954023,29,118,55.0,1883
304,216.566666667,1779.9091954,50,280,216.0,6497
305,125.1,850.851724138,82,191,115.5,3753
306,374.083333333,34868.9492754,9,564,464.0,8978
307,88.0,1243.17241379,45,178,73.5,2640
308,50.5,637.224137931,12,101,44.0,1515
309,125.566666667,1274.59885057,45,169,137.0,3767
310,179.3,1160.2862069,111,260,175.0,5379
311,90.8518518519,2168.74643875,12,152,110.0,2453
312,98.6333333333,158.309195402,74,124,95.0,2959
313,473.0,32789.2727273,35,648,555.0,10879
314,113.166666667,627.66091954,42,183,112.5,3395
315,165.2,1201.47586207,90,251,166.0,4956
316,153.833333333,2746.83333333,61,223,168.0,4615
317,65.9333333333,813.581609195,31,126,62.5,1978
318,153.666666667,1237.81609195,94,220,148.5,4610
319,160.166666667,774.143678161,94,225,155.0,4805
320,258.466666667,3839.63678161,183,374,232.5,7754
321,121.133333333,333.981609195,85,177,117.0,3634
322,74.2333333333,192.736781609,41,97,77.5,2227
323,183.566666667,692.529885057,122,229,182.5,5507
324,111.933333333,2601.37471264,46,327,116.0,3358
325,83.3,398.631034483,44,119,79.5,2499
326,71.4,525.144827586,27,109,70.5,2142
327,66.6,184.248275862,46,100,63.5,1998
328,134.866666667,311.567816092,105,173,132.5,4046
329,89.5,289.775862069,65,139,87.0,2685
330,84.9,2860.16206897,27,189,53.5,2547
331,308.217391304,8844.17786561,82,427,342.0,7089
332,131.766666667,1115.4954023,86,200,122.0,3953
333,87.6666666667,307.264367816,64,148,84.0,2630
334,138.433333333,1009.01264368,74,201,144.5,4153
335,130.566666667,3188.25402299,34,218,161.0,3917
336,258.833333333,7623.31609195,140,447,225.5,7765
337,86.9,152.782758621,65,122,88.0,2607
338,546.3,55508.3551724,316,1038,430.5,16389
339,100.6,425.420689655,69,145,99.5,3018
340,72.6,148.937931034,48,104,72.0,2178
341,192.133333333,3662.11954023,125,327,169.0,5764
342,102.7,425.665517241,63,134,106.0,3081
343,90.5,149.706896552,68,111,92.0,2715
344,156.166666667,871.867816092,106,236,148.5,4685
345,97.6,317.213793103,55,128,97.0,2928
346,218.689655172,1117.93596059,128,278,227.0,6342
347,55.0666666667,273.167816092,35,105,51.5,1652
348,310.4,3386.45517241,227,431,289.5,9312
349,90.7,172.906896552,59,115,89.5,2721
350,168.866666667,7581.84367816,29,304,205.5,5066
351,89.7333333333,497.443678161,37,132,93.0,2692
352,223.041666667,14042.0416667,1,347,272.0,5353
353,59.9666666667,345.550574713,31,130,56.5,1799
354,74.5666666667,582.598850575,1,119,75.5,2237
355,41.1,229.265517241,10,72,39.0,1233
356,123.333333333,233.126436782,99,158,122.5,3700
357,59.9333333333,120.616091954,43,93,58.5,1798
358,130.966666667,883.895402299,70,175,141.0,3929
359,157.733333333,313.650574713,126,194,157.0,4732
360,160.166666667,2371.66091954,102,287,147.5,4805
361,167.766666667,3949.01264368,65,262,197.0,5033
362,141.7,498.079310345,107,185,140.5,4251
363,68.0344827586,109.10591133,53,89,66.0,1973
364,99.7,1489.38965517,43,180,90.0,2991
365,62.2666666667,245.512643678,39,104,59.5,1868
366,90.7826086957,667.632411067,36,128,93.0,2088
367,79.3666666667,167.826436782,56,99,83.0,2381
368,221.958333333,3342.82427536,122,325,201.5,5327
369,126.2,360.165517241,91,168,123.0,3786
370,192.833333333,12494.3505747,103,494,143.0,5785
371,230.533333333,2193.9816092,145,308,234.0,6916
372,53.6,177.627586207,33,80,51.5,1608
373,50.9,156.782758621,24,70,51.0,1527
374,66.0666666667,472.340229885,34,123,62.0,1982
375,66.4666666667,606.050574713,26,110,62.5,1994
376,43.5333333333,100.188505747,25,68,43.5,1306
377,97.9333333333,439.788505747,45,132,99.0,2938
378,169.933333333,996.47816092,85,225,166.0,5098
379,60.5666666667,1471.21954023,19,137,37.5,1817
380,239.666666667,2878.85057471,104,335,223.0,7190
381,60.0333333333,160.516091954,43,91,57.5,1801
382,64.6,248.386206897,37,102,62.5,1938
383,96.6923076923,2697.42153846,37,332,90.5,2514
384,54.2666666667,537.029885057,16,85,59.0,1628
385,55.5333333333,438.87816092,23,97,52.0,1666
386,189.466666667,1322.11954023,128,274,185.5,5684
387,74.4666666667,350.11954023,42,117,70.5,2234
388,98.5666666667,790.805747126,51,177,94.0,2957
389,90.0344827586,335.463054187,41,115,94.0,2611
390,66.3666666667,1246.72298851,26,194,56.5,1991
391,283.833333333,9502.00574713,184,660,251.5,8515
392,235.433333333,9417.4954023,89,383,272.0,7063
393,452.433333333,2039.63333333,359,528,462.0,13573
394,159.0,2100.89655172,57,241,158.0,4770
395,208.633333333,2093.55057471,115,294,216.0,6259
396,98.7037037037,280.524216524,64,122,102.0,2665
397,140.333333333,806.574712644,100,218,133.5,4210
398,104.0,642.827586207,52,148,111.5,3120
399,160.2,15626.4413793,33,457,98.0,4806
400,66.3,110.079310345,50,93,64.5,1989
401,64.0333333333,442.37816092,24,104,68.5,1921
402,189.466666667,1291.63678161,106,242,195.5,5684
403,105.666666667,985.540229885,55,176,95.5,3170
404,204.266666667,3421.71954023,146,361,186.5,6128
405,114.166666667,1891.59195402,51,184,126.0,3425
406,128.25,837.675925926,63,186,127.0,3591
407,148.0,984.896551724,79,190,158.0,4440
408,312.3,5048.90689655,174,465,287.5,9369
409,94.8,272.510344828,48,128,95.5,2844
410,90.0333333333,1289.68850575,34,170,79.0,2701
411,22.6470588235,109.617647059,9,43,25.0,385
412,65.6666666667,967.057471264,15,110,74.0,1970
413,178.6,1995.83448276,91,236,199.5,5358
414,479.833333333,4885.04022989,388,639,476.5,14395
415,52.6,281.696551724,21,81,54.0,1578
416,86.2666666667,756.754022989,39,146,86.0,2588
417,29.9333333333,80.7540229885,12,47,28.5,898
418,148.5,712.879310345,103,214,144.5,4455
419,66.9333333333,3163.44367816,23,286,43.0,2008
420,106.4,605.351724138,63,188,109.0,3192
421,55.7333333333,697.167816092,18,104,49.5,1672
422,98.3333333333,269.195402299,66,124,97.0,2950
423,90.2,1537.75172414,44,156,72.0,2706
424,72.4666666667,346.326436782,47,113,70.0,2174
425,107.7,602.355172414,73,173,100.5,3231
426,188.8,6349.13103448,45,424,171.0,5664
427,98.0333333333,748.791954023,54,149,97.5,2941
428,99.8666666667,1592.46436782,39,160,113.0,2996
429,46.4,149.006896552,28,70,47.0,1392
430,90.9333333333,506.616091954,43,149,93.0,2728
431,66.9,123.610344828,41,99,65.0,2007
432,65.4814814815,948.797720798,14,113,62.0,1768
433,82.6,262.524137931,49,106,85.5,2478
434,66.4,2959.83448276,23,271,48.5,1992
435,449.433333333,42290.9436782,38,1046,385.5,13483
436,431.8,3899.26896552,304,576,423.0,12954
437,75.9666666667,933.067816092,36,211,70.0,2279
438,72.6,358.731034483,38,112,70.0,2178
439,135.4,4673.14482759,96,483,122.0,4062
440,75.1333333333,221.222988506,48,102,74.5,2254
441,234.933333333,4046.4091954,148,380,221.0,7048
442,94.5,479.293103448,62,144,85.0,2835
443,67.3666666667,264.516091954,46,101,64.0,2021
444,83.3,1002.14827586,26,221,79.5,2499
445,161.533333333,1407.42988506,101,250,157.0,4846
446,56.9,468.368965517,23,97,56.0,1707
447,187.466666667,7394.60229885,55,321,225.0,5624
448,133.5,4254.32758621,39,228,159.0,4005
449,59.9333333333,2517.09885057,12,201,34.5,1798
450,67.0666666667,111.71954023,41,89,68.5,2012
451,132.0,1137.5862069,86,205,121.0,3960
452,226.833333333,1277.72988506,175,338,218.5,6805
453,57.9333333333,144.685057471,37,86,56.5,1738
454,64.7,105.872413793,49,93,62.0,1941
455,134.066666667,810.822988506,65,201,132.5,4022
456,68.0333333333,197.61954023,51,103,66.0,2041
457,65.5,528.25862069,31,120,61.5,1965
458,148.333333333,7444.43678161,58,408,119.0,4450
459,30.6896551724,1669.43596059,1,143,9.0,890
460,184.620689655,11747.8152709,7,330,242.0,5354
461,47.0,78.4137931034,29,67,46.5,1410
462,96.2666666667,2175.23678161,44,201,77.5,2888
463,126.933333333,732.616091954,32,186,128.0,3808
464,109.466666667,1824.8091954,52,193,94.5,3284
465,468.7,20691.5666667,302,763,412.0,4687
466,95.9333333333,1299.71954023,49,173,90.5,2878
467,107.2,757.268965517,80,209,100.0,3216
468,53.0,209.862068966,29,98,53.0,1590
469,53.6,160.868965517,28,71,52.5,1608
470,74.4333333333,784.598850575,40,128,64.5,2233
471,78.7,235.389655172,49,116,77.0,2361
472,489.2,16439.7517241,337,783,442.5,14676
473,58.6111111111,930.486928105,1,112,54.5,1055
474,41.5,225.844827586,19,79,40.0,1245
475,144.4,2251.07586207,98,325,125.5,4332
476,63.6666666667,1229.1954023,4,110,81.5,1910
477,89.4666666667,232.11954023,63,119,89.5,2684
478,48.3666666667,59.8264367816,35,65,47.0,1451
479,68.7333333333,234.47816092,44,117,66.5,2062
480,94.5333333333,1899.15402299,36,199,79.0,2836
481,64.2333333333,265.564367816,40,96,61.5,1927
482,97.5666666667,871.081609195,59,163,84.5,2927
483,62.7333333333,257.581609195,28,90,66.0,1882
484,90.4,1124.93793103,47,176,80.5,2712
485,131.4,816.937931034,74,197,124.0,3942
486,85.9666666667,786.033333333,44,180,78.5,2579
487,59.5666666667,179.909195402,36,83,60.5,1787
488,74.6666666667,247.954022989,47,114,76.0,2240
489,74.8666666667,126.188505747,54,98,75.5,2246
490,42.5,198.810344828,23,64,41.5,1275
491,275.833333333,1943.38505747,213,366,278.5,8275
492,74.0,243.931034483,48,102,73.5,2220
493,87.8571428571,1207.46031746,27,203,91.5,2460
494,77.4333333333,573.288505747,47,141,72.5,2323
495,76.9,968.851724138,33,143,69.5,2307
496,130.233333333,464.116091954,86,179,131.0,3907
497,74.3,1327.80344828,35,169,61.5,2229
498,64.7666666667,300.736781609,34,98,66.5,1943
499,59.5333333333,416.395402299,34,106,52.5,1786
500,153.2,1234.57931034,104,216,146.0,4596
501,124.80952381,1310.36190476,41,181,127.0,2621
502,141.517241379,1926.18719212,25,237,135.0,4104
503,89.1,547.05862069,47,133,93.0,2673
504,87.5333333333,331.498850575,53,120,90.5,2626
505,99.6086956522,1201.70355731,21,165,107.0,2291
506,77.0333333333,1330.51609195,14,152,68.0,2311
507,196.466666667,9746.94712644,52,517,206.5,5894
508,128.166666667,1526.07471264,52,182,136.0,3845
509,86.9,6356.50689655,26,378,58.5,2607
510,64.3333333333,124.436781609,32,91,65.0,1930
511,152.766666667,526.254022989,116,190,151.5,4583
512,87.5333333333,1198.74022989,37,184,88.0,2626
513,130.8,218.096551724,101,157,133.5,3924
514,86.1666666667,1876.35057471,39,293,84.0,2585
515,142.933333333,791.926436782,99,199,142.0,4288
516,81.7666666667,131.081609195,48,99,81.5,2453
517,2113.63333333,366552.171264,1251,3263,1991.0,63409
518,73.0333333333,627.067816092,38,124,66.5,2191
519,183.766666667,1024.80574713,132,259,176.0,5513
520,74.5185185185,638.951566952,6,133,83.0,2012
521,111.133333333,4976.53333333,38,322,85.5,3334
522,136.166666667,853.729885057,92,206,130.0,4085
523,49.8333333333,174.074712644,24,81,48.0,1495
524,54.3448275862,1294.51970443,1,123,67.0,1576
525,70.8,210.855172414,40,98,72.5,2124
526,105.766666667,361.495402299,79,149,103.5,3173
527,49.2,527.889655172,13,82,54.5,1476
528,462.9,10178.6448276,340,693,418.5,13887
529,105.9,452.3,54,145,107.0,3177
530,716.423076923,162792.013846,23,1066,929.5,18627
531,144.5,1659.98275862,81,227,127.5,4335
532,98.5333333333,299.085057471,64,138,98.0,2956
533,118.033333333,2313.96436782,38,188,129.0,3541
534,61.1,1339.47241379,22,130,43.5,1833
535,189.0,591.586206897,147,265,187.0,5670
536,80.3,215.113793103,50,110,79.5,2409
537,130.466666667,932.395402299,89,191,121.0,3914
538,69.0666666667,1259.44367816,21,147,53.5,2072
539,92.8666666667,341.222988506,63,132,92.5,2786
540,87.8666666667,314.671264368,53,138,87.0,2636
541,169.9,1143.47241379,100,229,170.0,5097
542,74.3,232.424137931,28,97,76.5,2229
543,78.3,220.7,54,115,77.0,2349
544,123.666666667,2343.81609195,48,264,118.5,3710
545,147.066666667,2122.4091954,94,336,134.5,4412
546,76.3,731.872413793,22,124,73.0,2289
547,63.1851851852,372.002849003,26,92,63.0,1706
548,119.166666667,770.833333333,67,208,112.5,3575
549,78.6666666667,658.16091954,23,124,76.5,2360
550,85.8666666667,253.36091954,57,119,86.5,2576
551,95.8333333333,763.66091954,71,193,88.0,2875
552,119.1,823.748275862,66,184,108.0,3573
553,239.7,3932.01034483,48,373,249.5,7191
